positive,negative,neutral,compound,overall
0.503,0.0,0.497,0.9346,Positive
0.372,0.105,0.524,0.9044,Positive
0.594,0.0,0.406,0.8304,Positive
0.362,0.161,0.476,0.6697,Positive
0.044,0.158,0.798,-0.9088,Negative
0.25,0.0,0.75,0.7906,Positive
0.0,0.104,0.896,-0.8442,Negative
0.192,0.119,0.689,0.9261,Positive
0.243,0.085,0.672,0.9698,Positive
0.0,0.19,0.81,-0.7783,Negative
0.277,0.112,0.611,0.6705,Positive
0.064,0.037,0.9,0.3036,Positive
0.312,0.0,0.688,0.9763,Positive
0.195,0.059,0.746,0.8904,Positive
0.21,0.035,0.755,0.9081,Positive
0.334,0.363,0.304,-0.1458,Negative
0.379,0.096,0.525,0.9169,Positive
0.244,0.089,0.667,0.8271,Positive
0.573,0.0,0.427,0.7717,Positive
0.615,0.0,0.385,0.8625,Positive
0.178,0.0,0.822,0.5367,Positive
0.339,0.0,0.661,0.6249,Positive
0.256,0.0,0.744,0.7841,Positive
0.314,0.0,0.686,0.9001,Positive
0.295,0.101,0.604,0.5984,Positive
0.244,0.113,0.644,0.6226,Positive
0.574,0.0,0.426,0.796,Positive
0.114,0.1,0.786,0.0153,Negative
0.136,0.221,0.643,-0.8632,Negative
0.249,0.101,0.65,0.6249,Positive
0.272,0.184,0.544,0.2716,Positive
0.359,0.0,0.641,0.807,Positive
0.344,0.0,0.656,0.9001,Positive
0.271,0.144,0.585,0.34,Positive
0.267,0.0,0.733,0.8578,Positive
0.229,0.0,0.771,0.8286,Positive
0.069,0.207,0.724,-0.8107,Negative
0.33,0.169,0.501,0.6326,Positive
0.117,0.194,0.689,-0.7351,Negative
0.216,0.136,0.648,0.3818,Positive
0.165,0.274,0.561,-0.6705,Negative
0.291,0.165,0.544,0.6908,Positive
0.328,0.192,0.48,0.4767,Positive
0.419,0.0,0.581,0.802,Positive
0.225,0.08,0.695,0.7841,Positive
0.209,0.079,0.713,0.961,Positive
0.434,0.0,0.566,0.7841,Positive
0.302,0.0,0.698,0.9612,Positive
0.251,0.0,0.749,0.8936,Positive
0.549,0.0,0.451,0.8074,Positive
0.284,0.171,0.545,0.4391,Positive
0.128,0.105,0.767,0.2023,Positive
0.269,0.065,0.666,0.9145,Positive
0.253,0.124,0.623,0.8042,Positive
0.283,0.166,0.552,0.4019,Positive
