Zip,Centroid Latitude,Centroid Longitude
2539,41.377655,-70.52208
2540,41.5738915,-70.6320419
2542,41.7078392,-70.5455195
2543,41.478974,-70.766911
2553,41.7125265,-70.6207473
2554,41.2910715,-70.0933285
2556,41.6394465,-70.6245154
2557,41.441713,-70.576143
2558,41.745017,-70.653513
2559,41.6902429,-70.6162831
2561,41.7667368,-70.540595
2562,41.7872087,-70.5267169
2563,41.7281369,-70.4765487
2564,41.2719115,-69.9845133
75137,32.6432116,-96.916468
75140,32.635479,-95.6864021
75141,32.6373325,-96.6976088
75142,32.5681628,-96.2502144
75143,32.3645785,-96.2449873
75144,32.1083877,-96.2079546
75146,32.5645182,-96.7522222
75147,32.4366759,-96.0795577
75148,32.1246469,-96.0257902
75149,32.7733689,-96.6188105
75150,32.8173991,-96.6304156
75152,32.439871,-96.6780508
75153,32.1582606,-96.3296311
75154,32.5242594,-96.8090687
75155,32.2291128,-96.4755085
75156,32.2779228,-96.1052866
75157,32.4641843,-96.4393353
70464,30.5511949,-89.9190077
75158,32.4625944,-96.4023425
70465,30.8562587,-90.5239299
80476,39.6706285,-105.8343433
80477,40.486391,-106.8293537
80478,40.0290015,-105.8528131
70466,30.5687142,-90.5007611
80479,40.0359116,-106.8144972
75159,32.603727,-96.5442824
70471,30.4070384,-90.0634214
80480,40.6728876,-106.3415656
80481,40.1014108,-105.5767641
75160,32.758408,-96.3013232
80482,39.8923286,-105.7859292
80483,40.0917979,-106.9359802
70501,30.2418322,-91.9910394
42044,36.9575816,-88.2632026
48506,43.067472,-83.6243923
42045,37.0639931,-88.2630968
42047,37.2902397,-88.399879
42048,36.7657052,-88.228582
42049,36.521138,-88.3337561
48507,42.966974,-83.7173603
42050,36.5554213,-89.2192742
42051,36.8505604,-88.6454238
48509,43.0239407,-83.6047157
48519,42.9819062,-83.6049431
48529,42.9703379,-83.6585901
42053,37.1126477,-88.8778228
42054,36.7144539,-88.4334566
48532,43.0110682,-83.7948753
48551,42.9810137,-83.7169225
48553,42.9778478,-83.7235464
48554,42.9758777,-83.7907421
27201,36.0341723,-79.4848287
27203,35.7284639,-79.786527
27205,35.6382587,-79.8508662
27207,35.6076129,-79.3905175
27208,35.5632305,-79.5429277
27209,35.3429989,-79.7532911
27212,36.480967,-79.2798562
27214,36.206055,-79.671126
27215,36.0271285,-79.4918211
27217,36.190945,-79.3801853
27229,35.2656322,-79.7757333
27231,36.2077199,-79.1694201
27233,35.8925121,-79.70498
27235,36.0920281,-80.0114425
27239,35.6012291,-80.09028
27242,35.3296566,-79.6489549
27243,36.0669164,-79.1981478
27244,36.2153772,-79.4863698
27248,35.7832957,-79.7163307
27249,36.1541407,-79.5823894
27252,35.5666138,-79.3497583
27253,35.9661659,-79.3473611
27258,36.0900248,-79.3858175
27260,35.954467,-79.987882
27262,35.9631296,-80.0416675
27263,35.9115216,-79.9367987
27265,36.0123051,-80.0309493
27278,36.0901953,-79.0869286
27281,35.1874423,-79.6251154
27282,35.9889568,-79.928282
27283,35.951474,-79.6354182
27284,36.1193332,-80.0773421
27288,36.4976449,-79.7500154
27291,36.4183159,-79.1684283
27292,35.738325,-80.2075465
27295,35.8717669,-80.3101798
27298,35.8851152,-79.5675454
27299,35.7523237,-80.3861487
27301,36.1135101,-79.6656557
27302,36.1419282,-79.2661997
43529,41.1876004,-83.7816164
43531,41.6350441,-84.4956661
43532,41.4504965,-83.9749671
43533,41.6918741,-84.0815344
43534,41.349611,-83.926981
43535,41.3072796,-84.0220347
43536,41.309794,-84.6328946
43537,41.5748229,-83.6866224
43540,41.6928458,-83.9280254
43541,41.3007553,-83.829536
43542,41.5667188,-83.7650354
43543,41.6064888,-84.6453462
43545,41.3908454,-84.1271692
43547,41.4921602,-83.8763158
43548,41.1853343,-84.1751158
43549,41.3693137,-84.5311437
43551,41.5179514,-83.5720038
43553,41.5312266,-84.2288388
43554,41.6584214,-84.5634914
43555,41.4341293,-84.2543219
43556,41.3033043,-84.5637286
43557,41.4873978,-84.392482
43558,41.5939716,-83.8786533
43560,41.7005907,-83.7388518
43565,41.4199707,-83.7401071
43566,41.4927597,-83.7532057
43567,41.5803451,-84.1610652
84401,41.2162046,-112.04169
73145,35.41909,-97.394038
73149,35.3894031,-97.4893252
71960,34.4903385,-93.7113668
73150,35.4012377,-97.3298758
73151,35.5716864,-97.4165392
71961,34.6003154,-93.8383599
84403,41.2149764,-111.8896076
71962,34.036195,-93.3227452
71964,34.4241338,-93.2407307
73159,35.3878548,-97.5788345
71965,34.6704847,-93.746571
71968,34.5241703,-93.2904933
